"frame_no","xnose","ynose","xleft_eye_inner","yleft_eye_inner","xleft_eye","yleft_eye","xleft_eye_outer","yleft_eye_outer","xright_eye_inner","yright_eye_inner","xright_eye","yright_eye","xright_eye_outer","yright_eye_outer","xleft_ear","yleft_ear","xright_ear","yright_ear","xmouth_left","ymouth_left","xmouth_right","ymouth_right","xleft_shoulder","yleft_shoulder","xright_shoulder","yright_shoulder","xleft_elbow","yleft_elbow","xright_elbow","yright_elbow","xleft_wrist","yleft_wrist","xright_wrist","yright_wrist","xleft_pinky","yleft_pinky","xright_pinky","yright_pinky","xleft_index","yleft_index","xright_index","yright_index","xleft_thumb","yleft_thumb","xright_thumb","yright_thumb","xleft_hip","yleft_hip","xright_hip","yright_hip","xleft_knee","yleft_knee","xright_knee","yright_knee","xleft_ankle","yleft_ankle","xright_ankle","yright_ankle","xleft_heel","yleft_heel","xright_heel","yright_heel","xleft_foot_index","yleft_foot_index","xright_foot_index","yright_foot_index"
0,590,213,591,205,593,206,595,206,583,205,579,205,576,206,593,211,566,211,594,223,584,222,605,257,542,252,621,200,531,176,585,200,548,205,575,204,552,209,572,206,554,211,574,207,555,211,601,388,563,385,598,486,618,468,569,579,573,559,554,586,555,566,588,613,584,606
1,590,213,591,205,593,206,595,206,583,205,579,205,576,205,593,211,566,210,594,222,584,222,605,257,541,252,621,200,531,175,585,201,549,205,575,204,553,208,572,207,555,211,574,208,555,211,602,388,563,385,599,483,618,467,569,579,573,559,554,591,555,566,588,613,583,603
2,590,213,591,205,593,206,595,206,583,205,579,205,576,205,593,211,566,210,593,222,584,222,605,256,541,251,621,199,531,174,585,201,549,205,575,204,553,208,572,207,555,211,574,208,555,211,602,388,563,385,599,483,618,467,568,579,573,559,554,595,555,566,589,613,583,601
3,590,213,591,205,593,206,594,206,583,205,579,205,576,205,593,211,565,209,593,222,584,222,605,256,540,250,621,198,531,174,585,201,549,204,575,204,553,208,571,207,555,211,574,208,555,211,603,387,563,384,599,483,618,467,567,579,573,559,553,596,555,566,589,613,583,601
4,590,213,591,205,593,206,594,206,583,205,579,205,576,204,593,211,565,209,593,222,584,222,605,255,540,249,621,198,531,174,585,202,549,204,575,205,552,208,571,207,555,210,574,208,554,211,603,387,563,384,599,482,617,466,567,579,573,559,553,595,555,567,589,613,583,600
5,590,213,591,205,593,206,594,206,583,205,579,205,576,204,593,211,565,209,593,222,584,222,605,255,540,249,621,198,530,174,585,202,548,204,575,205,552,207,572,207,554,210,574,208,554,211,603,387,563,383,599,482,617,466,567,579,572,559,553,595,555,567,589,613,583,601
6,590,213,591,205,593,206,594,206,583,205,579,205,576,204,593,211,565,209,593,222,584,222,605,255,540,249,621,197,530,174,585,202,548,204,575,205,551,207,572,207,554,210,574,209,554,211,603,387,563,383,598,482,617,466,567,579,572,559,553,594,555,567,589,613,583,601
7,590,213,591,205,593,206,594,206,583,205,579,205,576,204,593,211,565,209,593,222,584,222,605,255,540,249,621,196,530,174,585,202,548,204,575,205,551,207,572,207,554,210,574,209,554,211,603,387,563,383,598,482,617,466,567,579,572,559,553,594,555,567,589,613,583,601
8,590,213,591,206,593,206,594,206,583,205,579,205,576,204,593,211,565,209,593,222,584,222,605,255,540,249,621,196,530,174,585,202,548,204,575,205,551,207,572,208,554,210,574,209,553,211,603,387,563,383,598,481,617,466,566,579,572,559,553,594,555,568,589,613,583,601
9,590,213,591,206,593,206,594,206,583,205,579,205,576,204,593,211,565,209,593,222,584,222,605,255,540,249,621,196,530,174,585,202,548,204,575,205,551,207,572,208,554,210,575,209,553,211,602,387,563,383,598,481,617,466,566,579,571,559,553,594,554,568,590,613,584,601
